n,total_fee_ada,cost_per_user_ada
1,0.406931,0.406931
2,0.463401,0.2317005
3,0.5198710000000001,0.17329033333333335
4,0.576341,0.14408525
5,0.6328109999999999,0.12656219999999999
6,0.689281,0.11488016666666667
7,0.7457509999999999,0.10653585714285714
8,0.802221,0.100277625
9,0.858691,0.09541011111111111
10,0.915161,0.0915161
11,0.971631,0.08833009090909091
12,1.028101,0.08567508333333333
13,1.0845710000000002,0.08342853846153847
14,1.1410409999999997,0.08150292857142856
15,1.197511,0.07983406666666666
16,1.253981,0.0783738125
17,1.3104510000000003,0.07708535294117648
18,1.3669210000000003,0.07594005555555557
19,1.4233909999999999,0.07491531578947368
20,1.479861,0.07399305
21,1.5363310000000001,0.07315861904761906
22,1.592801,0.07240004545454545
23,1.6492709999999997,0.07170743478260869
24,1.7057410000000002,0.07107254166666667
25,1.762211,0.07048844
26,1.818681,0.06994926923076923
27,1.8751509999999998,0.06945003703703703
28,1.9316210000000003,0.0689864642857143
29,1.988091,0.06855486206896552
30,2.044561,0.06815203333333333
31,2.101031,0.0677751935483871
32,2.157501,0.06742190625
33,2.213971,0.0670900303030303
34,2.2704410000000004,0.06677767647058824
35,2.326911,0.06648317142857142
36,2.3833810000000004,0.06620502777777779
37,2.439851,0.06594191891891892
38,2.496321,0.06569265789473684
39,2.5527909999999996,0.06545617948717948
40,2.609261,0.065231525
