block_time,mean_fill,max_fill,blocks
2026-06-13 00:00:00+00:00,0.05256916,0.47727272,394
2026-06-14 00:00:00+00:00,0.069930956,0.9747536,4284
2026-06-15 00:00:00+00:00,0.09313244,0.9831432,4242
2026-06-16 00:00:00+00:00,0.07314148,0.9836204,4303
2026-06-17 00:00:00+00:00,0.07892434,0.9419167,4163
2026-06-18 00:00:00+00:00,0.07045952,0.7517423,4117
2026-06-19 00:00:00+00:00,0.062911734,0.85995203,4327
2026-06-20 00:00:00+00:00,0.04818939,0.9724787,4237
2026-06-21 00:00:00+00:00,0.102077425,0.98582876,4248
2026-06-22 00:00:00+00:00,0.08302699,0.98583984,4228
2026-06-23 00:00:00+00:00,0.08273407,0.9808128,4321
2026-06-24 00:00:00+00:00,0.098017834,0.98429734,4291
2026-06-25 00:00:00+00:00,0.076536864,0.9848189,4259
2026-06-26 00:00:00+00:00,0.07106001,0.98418635,4271
2026-06-27 00:00:00+00:00,0.05061595,0.9740656,4266
2026-06-28 00:00:00+00:00,0.04624535,0.75142044,4338
2026-06-29 00:00:00+00:00,0.059716005,0.8217995,4218
2026-06-30 00:00:00+00:00,0.059510946,0.69593394,4214
2026-07-01 00:00:00+00:00,0.10022426,0.9852628,4333
2026-07-02 00:00:00+00:00,0.13974187,0.98779297,4350
2026-07-03 00:00:00+00:00,0.25187975,0.98785955,4331
2026-07-04 00:00:00+00:00,0.16128704,0.98785955,4337
2026-07-05 00:00:00+00:00,0.04460973,0.54674184,4267
2026-07-06 00:00:00+00:00,0.09910307,0.9870827,4333
2026-07-07 00:00:00+00:00,0.058466148,0.76070887,4254
2026-07-08 00:00:00+00:00,0.10788844,0.9864835,4273
2026-07-09 00:00:00+00:00,0.08632343,0.89453125,4164
2026-07-10 00:00:00+00:00,0.059660316,0.9276456,4370
2026-07-11 00:00:00+00:00,0.048708886,0.9030762,4391
2026-07-12 00:00:00+00:00,0.038931437,0.78793055,4259
2026-07-13 00:00:00+00:00,0.11238782,0.9881925,4257
2026-07-14 00:00:00+00:00,0.071037464,0.987338,4280
2026-07-15 00:00:00+00:00,0.06478746,0.75608134,4198
2026-07-16 00:00:00+00:00,0.055655796,0.9187899,4317
2026-07-17 00:00:00+00:00,0.059717678,0.96989304,4278
2026-07-18 00:00:00+00:00,0.04705238,0.97435415,4141
2026-07-19 00:00:00+00:00,0.03924464,0.78962845,4064
2026-07-20 00:00:00+00:00,0.20835613,0.9860396,4179
2026-07-21 00:00:00+00:00,0.14885476,0.98637253,4168
2026-07-22 00:00:00+00:00,0.079087056,0.88097036,4204
2026-07-23 00:00:00+00:00,0.061156765,0.89212316,4228
2026-07-24 00:00:00+00:00,0.069781125,0.9839311,4254
2026-07-25 00:00:00+00:00,0.04492373,0.7316229,4096
2026-07-26 00:00:00+00:00,0.04346073,0.9596058,4235
2026-07-27 00:00:00+00:00,0.049210288,0.98301005,4263
2026-07-28 00:00:00+00:00,0.05550643,0.97881526,4235
2026-07-29 00:00:00+00:00,0.06230923,0.9860174,4150
2026-07-30 00:00:00+00:00,0.051725943,0.9857067,4121
2026-07-31 00:00:00+00:00,0.063408956,0.9626021,4185
2026-08-01 00:00:00+00:00,0.043223627,0.79700816,4172
2026-08-02 00:00:00+00:00,0.057894237,0.90969014,4265
2026-08-03 00:00:00+00:00,0.052651446,0.93119675,4285
2026-08-04 00:00:00+00:00,0.04803399,0.93429285,4326
2026-08-05 00:00:00+00:00,0.051310368,0.71351206,4300
2026-08-06 00:00:00+00:00,0.06330443,0.98238856,4262
2026-08-07 00:00:00+00:00,0.046843823,0.9699152,4179
2026-08-08 00:00:00+00:00,0.033933897,0.71856135,4281
2026-08-09 00:00:00+00:00,0.04591014,0.8437167,4267
2026-08-10 00:00:00+00:00,0.037597872,0.7932684,4268
2026-08-11 00:00:00+00:00,0.046447266,0.9684837,4097
2026-08-12 00:00:00+00:00,0.04570486,0.899403,4056
2026-08-13 00:00:00+00:00,0.042936984,0.6391935,4283
2026-08-14 00:00:00+00:00,0.042430986,0.72132456,4196
2026-08-15 00:00:00+00:00,0.033098903,0.9666082,4294
2026-08-16 00:00:00+00:00,0.036584027,0.6777788,4298
2026-08-17 00:00:00+00:00,0.04117113,0.92444956,4191
2026-08-18 00:00:00+00:00,0.038500194,0.8983154,4366
2026-08-19 00:00:00+00:00,0.058656674,0.9790816,4358
2026-08-20 00:00:00+00:00,0.07863248,0.9238503,4259
2026-08-21 00:00:00+00:00,0.104274765,0.972057,4302
2026-08-22 00:00:00+00:00,0.10871545,0.9841198,4171
2026-08-23 00:00:00+00:00,0.07774151,0.98285466,4063
2026-08-24 00:00:00+00:00,0.08737423,0.98046875,4149
2026-08-25 00:00:00+00:00,0.09040127,0.9771063,4254
2026-08-26 00:00:00+00:00,0.056506097,0.8466242,4273
2026-08-27 00:00:00+00:00,0.059644118,0.88013804,4258
2026-08-28 00:00:00+00:00,0.055963416,0.98498535,4342
2026-08-29 00:00:00+00:00,0.04549846,0.7182062,4233
2026-08-30 00:00:00+00:00,0.042686395,0.92822266,4280
2026-08-31 00:00:00+00:00,0.046910718,0.9753196,4212
2026-09-01 00:00:00+00:00,0.047416143,0.97769445,4200
2026-09-02 00:00:00+00:00,0.061419763,0.9463778,4345
2026-09-03 00:00:00+00:00,0.07142107,0.9869829,4289
2026-09-04 00:00:00+00:00,0.08139599,0.98497427,4260
2026-09-05 00:00:00+00:00,0.0475281,0.9135298,4363
2026-09-06 00:00:00+00:00,0.050897256,0.5999201,4316
2026-09-07 00:00:00+00:00,0.06267629,0.9875044,4227
2026-09-08 00:00:00+00:00,0.053797457,0.9760409,4271
2026-09-09 00:00:00+00:00,0.06755914,0.9802579,4195
2026-09-10 00:00:00+00:00,0.053152874,0.9705034,4343
2026-09-11 00:00:00+00:00,0.065811075,0.9861839,4233
2026-09-12 00:00:00+00:00,0.034642123,0.90878016,4225
2026-09-13 00:00:00+00:00,0.03522636,0.41025612,1738
