abs_slot,actual,forecast
196920531,0.02656694,0.06108194101942074
196920579,0.4313854,0.07451274047664541
196920593,0.2972856,0.1314804194055942
196920598,0.09864391,0.11961130190295284
196920630,0.29538795,0.10843511302443508
196920631,0.013583097,0.13495445465585743
196920632,0.035222832,0.11714768895280195
196920687,0.5614458,0.1256234217960147
196920691,0.040516246,0.17096622466783556
196920697,0.087923914,0.13419569236089807
196920707,0.10715554,0.12280443470382352
196920730,0.2680109,0.13016381525400453
196920762,0.19541238,0.12998441368892416
196920806,0.21228027,0.11293197187563922
196920811,0.008356268,0.10638871286993853
196920837,0.101429336,0.07971342194128284
196920873,0.11139471,0.07045796402906729
196920918,0.18114124,0.05980353281568579
196920924,0.035378195,0.07199531185336266
196920938,0.07132235,0.05667473631961641
196920946,0.06804865,0.07323839746013275
196920951,4.4389206e-05,0.04799323402408389
196920965,0.064175695,0.05024754954420158
196920974,0.08589311,0.05576326992133419
196921006,0.03720925,0.04503217599184831
196921020,0.0493497,0.039527762658895085
196921108,0.4078924,0.05045979904839227
196921129,0.11435769,0.07511828453607618
196921130,4.4389206e-05,0.0581484629926098
196921131,4.4389206e-05,0.05452463583974217
196921165,0.34674627,0.053323986328290565
196921188,0.11405806,0.06978851334263546
196921211,0.0888006,0.06038149110148715
196921220,0.0777144,0.057785393787892964
196921241,0.09733443,0.052293991799966105
196921256,0.07660467,0.05756927411369425
196921260,0.03465687,0.05265510927264777
196921264,0.008489436,0.05506825934874418
196921265,4.4389206e-05,0.04505785261203433
196921331,0.11460183,0.0335059760890294
196921341,0.090509586,0.042471506078831524
196921343,4.4389206e-05,0.03616193690125708
196921347,4.4389206e-05,0.03240652131110276
196921353,0.028697621,0.030942694752015124
196921361,0.038829457,0.039689863663237984
196921392,0.011075106,0.024574244844039715
196921431,0.10488059,0.030965020611741785
196921439,0.053522285,0.0354932320324266
196921448,0.034634676,0.032545185423319606
196921472,0.080178,0.03599447460465168
196921497,0.035245027,0.03670311786948037
196921557,0.09811124,0.02997449678898966
196921609,0.10420366,0.03450596119134144
196921610,4.4389206e-05,0.030875626581537467
196921630,0.02043013,0.025592679214359253
196921650,0.06683905,0.026408096374951028
196921702,0.16725852,0.03178583451430904
196921715,0.2523637,0.05161420457244312
196921723,0.041082207,0.05352096411512703
196921757,0.5875355,0.06847500693262157
196921766,0.46456632,0.1476945131378776
196921798,0.5365989,0.15198720134038415
196921815,0.66750264,0.21415592260734168
196921830,0.4984353,0.19638215235349238
196921840,0.35100764,0.25381919897384064
196921867,0.46938255,0.2529679984853252
196921882,0.7326327,0.3005706134617451
196921906,0.6149015,0.38230274153436417
196921936,0.62966084,0.36690304269994006
196921943,0.32861328,0.41342842186940254
196921950,0.3545144,0.388298101203118
196922032,0.47262296,0.33313271222578483
196922057,0.29503286,0.359669619201849
196922115,0.5926847,0.37361028313502176
196922146,0.796076,0.3329507932480427
196922186,0.43339399,0.38659631204587397
196922206,0.2969083,0.41839955093995
196922214,0.10159579,0.3613970353936438
196922215,0.04264693,0.28586996682624594
196922218,0.09927645,0.23609100890616114
196922228,0.1348877,0.23429554866077182
196922247,0.14695047,0.18402740360996953
196922251,0.058493875,0.21766167588990412
196922263,0.024169922,0.1775456452797292
196922297,0.22388805,0.13245699377128173
196922352,0.7105269,0.1772517761730712
196922357,0.044666637,0.22723600127538182
196922372,0.7522306,0.21649391753029087
196922375,0.23382014,0.26191464430090877
196922393,0.63186926,0.25294940972396107
196922408,0.48989037,0.31096853833250965
196922468,0.8939653,0.33709320524696723
196922494,0.26872113,0.344746182286899
196922500,0.26608,0.3887966547478765
196922517,0.6167658,0.31802538727437624
196922556,0.5575617,0.36865874619263816
196922572,0.7289484,0.4135601266117038
196922584,0.048583984,0.4018195689877925
196922588,0.1558283,0.3405819715882302
196922589,0.08190918,0.25347123210088296
196922591,0.051091973,0.29773703639673876
196922603,0.18230647,0.20008856726382154
196922622,0.27850896,0.24043591925839966
196922629,0.048994586,0.2270977258028352
196922644,0.09923207,0.2030891285851937
196922689,0.28710938,0.18560272920519488
196922717,0.26462623,0.17441289033492702
196922728,0.07933461,0.17139390973378016
196922797,0.31157893,0.1527938881197327
196922805,0.012340199,0.16138371330685972
196922844,0.24956721,0.13251388012529028
196922846,0.009011009,0.1159588992918953
196922849,0.011152788,0.09366674602124879
196922850,4.4389206e-05,0.09326053967761147
196922874,0.23342063,0.08354138690120118
196922912,0.38798383,0.1138541851438043
196922981,0.6038042,0.127300652040424
196923003,0.5110973,0.18383243619775622
196923040,0.50571513,0.19762849238598723
196923075,0.5413485,0.21015284272504353
196923076,0.25763494,0.22363226170693162
196923113,0.3428955,0.2049910434690597
196923182,0.50911087,0.21312027620422852
196923195,0.098399766,0.23718507823127188
196923216,0.114668414,0.16776011237972321
196923249,0.1410245,0.1603996671370696
196923250,0.0045276987,0.11324841850296205
196923252,4.4389206e-05,0.07778929773992674
196923260,0.021062678,0.06780272032709217
196923303,0.17099832,0.0630561559221131
196923312,0.09489302,0.10308135844139722
196923391,0.5053711,0.0841266497887369
196923392,4.4389206e-05,0.09765327027214954
196923395,0.014726118,0.08371772895453672
196923400,0.11111727,0.09080675225601978
196923423,0.25258568,0.10434483588240633
196923428,0.08446156,0.14585193184312287
196923494,0.7455167,0.15126984891110978
196923557,0.9704146,0.178585108713994
196923562,0.9134743,0.25364526712050517
196923568,0.5982111,0.31820606478157226
196923631,0.98497427,0.3415017947227906
196923640,0.69130635,0.3903938982227996
196923695,0.54789597,0.45011024335703625
196923712,0.31020287,0.449238209184037
196923722,0.46890536,0.44881206403337187
196923723,0.57632726,0.42644240850844073
196923774,0.9308416,0.38135660355732065
196923779,0.21451083,0.44010194858505197
196923821,0.7200373,0.3981142294475621
196923822,0.08711381,0.38590599735573927
196923832,0.33643687,0.3656159902392775
196923840,0.24721457,0.3075218664507599
196923889,0.28804156,0.27119453074429445
196923923,0.33259723,0.24987013971497732
196923924,4.4389206e-05,0.268957693899337
196923971,0.28930664,0.19806267289821605
196923989,0.12478915,0.22443531911491527
196924010,0.091031164,0.16250392941405947
196924029,0.07458496,0.1587893344090863
196924033,0.055164684,0.11777562879207837
196924037,0.022793857,0.11410779092384159
196924084,0.16048917,0.0933999172438785
196924116,0.092074305,0.09752412174116377
196924125,0.072587445,0.10247781807973695
196924195,0.9341375,0.15644536278630464
196924210,0.49647105,0.2080690705909006
196924216,0.7050337,0.2721080853108525
196924236,0.73248845,0.28036323551213305
196924241,0.14544123,0.2921742040686682
196924249,0.28339177,0.2673342426907743
196924275,0.76948684,0.3052647288688797
196924305,0.6009188,0.32748756950766217
196924314,0.099886805,0.3717209678359442
196924315,0.0032737039,0.3113453619662867
196924317,0.03561124,0.26792422639905533
196924326,0.077947445,0.2568499710960534
196924342,0.08326305,0.1725651549083726
196924350,0.0765048,0.17427362914675457
196924358,0.12567693,0.18352863504439945
196924368,0.047152434,0.17896075842328296
196924413,0.2832142,0.12088212478967061
196924422,0.085870914,0.15192096894215493
196924423,4.4389206e-05,0.1327378727707054
196924442,0.10466974,0.12347003792932508
196924447,0.1003196,0.11025662962129303
196924461,0.18971945,0.16774011727986246
196924479,0.14418723,0.1548956003498932
196924500,0.22721724,0.14913061096799402
196924504,0.0065806997,0.14222260032558656
196924519,0.33891156,0.13012637635618762
196924525,0.047962535,0.13694708541941308
196924528,4.4389206e-05,0.13226029522167526
196924529,4.4389206e-05,0.10109746087847894
196924566,0.2524969,0.09136775181906882
